             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2197603     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           2197601     short dimeriza  jjg9482 PD       0:00      1 (Dependency)
           1884850     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884849     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884848     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884847     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884845     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884844     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884843     short 0870e15c  jjg9482 PD       0:00      1 (Dependency)
           1884742     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884741     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884740     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884739     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884738     short 2f120554  jjg9482 PD       0:00      1 (Dependency)
           1884646     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884645     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884644     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884642     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884640     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884637     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884635     short 5129fb7c  jjg9482 PD       0:00      1 (Dependency)
           1884506     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884505     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884504     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884503     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884501     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884498     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884491     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884488     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884487     short 1775336d  jjg9482 PD       0:00      1 (Dependency)
           1884401     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884400     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884398     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884397     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884395     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884393     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884390     short 8c1745a7  jjg9482 PD       0:00      1 (Dependency)
           1884259     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884254     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884249     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884245     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884240     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884237     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884232     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884228     short 3405095c  jjg9482 PD       0:00      1 (Dependency)
           1884066     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884065     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884064     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884063     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884062     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884061     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884059     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884058     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1884057     short 552f233a  jjg9482 PD       0:00      1 (Dependency)
           1883962     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
           1883961     short 4a84eb03  jjg9482 PD       0:00      1 (Dependency)
